Model_1,Model_2,Accuracy_Diff,Return_Diff,Accuracy_Ratio,Return_Ratio,Better_Accuracy,Better_Return
Logistic Regression,QASA Sequence,-0.10440000000000005,-0.09373552341700146,0.8592422812457866,0.32679236734231076,QASA Sequence,QASA Sequence
VQE Classifier,Random Forest,-0.6217,-0.09818035708693049,0.3750502613590671,0.24438450904120657,Random Forest,Random Forest
VQE Classifier,Gradient Boosting,-0.6217,-0.08356333488772222,0.3750502613590671,0.2753614310312564,Gradient Boosting,Gradient Boosting
VQE Classifier,Logistic Regression,-0.2642,-0.01374771737644518,0.5854385689628119,0.6978632777990877,Logistic Regression,Logistic Regression
VQE Classifier,QNN,0.0,-0.016240997024587603,1.0,0.6616101035248168,QNN,QNN
VQE Classifier,QSVM,-0.07769999999999999,-0.02501096629875542,0.827639751552795,0.5593937502974784,QSVM,QSVM
VQE Classifier,QASA Hybrid,-0.2694,-0.09261884034778309,0.5807003891050584,0.2553125327398373,QASA Hybrid,QASA Hybrid
VQE Classifier,QASA Sequence,-0.36860000000000004,-0.10748324079344665,0.5030335715248753,0.22805639263322855,QASA Sequence,QASA Sequence
QNN,Random Forest,-0.6217,-0.08193936006234287,0.3750502613590671,0.36937844168221623,Random Forest,Random Forest
QNN,Gradient Boosting,-0.6217,-0.06732233786313463,0.3750502613590671,0.4161989509595324,Gradient Boosting,Gradient Boosting
QNN,Logistic Regression,-0.2642,0.0024932796481424227,0.5854385689628119,1.0547953758280404,Logistic Regression,QNN
QNN,VQE Classifier,0.0,0.016240997024587603,1.0,1.5114642214082972,VQE Classifier,QNN
QNN,QSVM,-0.07769999999999999,-0.008769969274167816,0.827639751552795,0.8455036392540455,QSVM,QSVM
QNN,QASA Hybrid,-0.2694,-0.07637784332319547,0.5807003891050584,0.3858957585133985,QASA Hybrid,QASA Hybrid
QNN,QASA Sequence,-0.36860000000000004,-0.09124224376885903,0.5030335715248753,0.3446990779285677,QASA Sequence,QASA Sequence
QSVM,Random Forest,-0.544,-0.07316939078817505,0.4531564133494169,0.4368738637341694,Random Forest,Random Forest
QSVM,Gradient Boosting,-0.544,-0.058552368588966806,0.4531564133494169,0.4922497451657669,Gradient Boosting,Gradient Boosting
QSVM,Logistic Regression,-0.1865,0.011263248922310239,0.7073591715047858,1.2475349919944103,Logistic Regression,QSVM
QSVM,VQE Classifier,0.07769999999999999,0.02501096629875542,1.2082551594746715,1.7876495750412174,QSVM,QSVM
QSVM,QNN,0.07769999999999999,0.008769969274167816,1.2082551594746715,1.1827270204091145,QSVM,QSVM
QSVM,QASA Hybrid,-0.19169999999999998,-0.06760787404902766,0.7016342412451362,0.45640934065506694,QASA Hybrid,QASA Hybrid
QSVM,QASA Sequence,-0.29090000000000005,-0.08247227449469122,0.6077929081839017,0.40768491337622403,QASA Sequence,QASA Sequence
QASA Hybrid,Random Forest,-0.35230000000000006,-0.0055615167391473985,0.6458584640128668,0.9571974646862859,Random Forest,Random Forest
QASA Hybrid,Gradient Boosting,-0.35230000000000006,0.009055505460060856,0.6458584640128668,1.0785268865428117,Gradient Boosting,QASA Hybrid
QASA Hybrid,Logistic Regression,0.005199999999999982,0.0788711229713379,1.0081594225639416,2.733368669019505,QASA Hybrid,QASA Hybrid
QASA Hybrid,VQE Classifier,0.2694,0.09261884034778309,1.7220584293755026,3.9167681635863802,QASA Hybrid,QASA Hybrid
QASA Hybrid,QNN,0.2694,0.07637784332319547,1.7220584293755026,2.5913733901930915,QASA Hybrid,QASA Hybrid
QASA Hybrid,QSVM,0.19169999999999998,0.06760787404902766,1.4252440106477373,2.1910156320743526,QASA Hybrid,QASA Hybrid
QASA Hybrid,QASA Sequence,-0.09920000000000007,-0.014864400445663561,0.8662532021032762,0.8932440181681851,QASA Sequence,QASA Sequence
QASA Sequence,Random Forest,-0.2531,0.009302883706516163,0.7455770004020909,1.071596837165787,Random Forest,QASA Sequence
QASA Sequence,Gradient Boosting,-0.2531,0.023919905905724417,0.7455770004020909,1.2074269344166384,Gradient Boosting,QASA Sequence
QASA Sequence,Logistic Regression,0.10440000000000005,0.09373552341700146,1.1638160991683666,3.0600469898751124,QASA Sequence,QASA Sequence
QASA Sequence,VQE Classifier,0.36860000000000004,0.10748324079344665,1.987938890377915,4.384880373023566,QASA Sequence,QASA Sequence
QASA Sequence,QNN,0.36860000000000004,0.09124224376885903,1.987938890377915,2.9010811575400584,QASA Sequence,QASA Sequence
QASA Sequence,QSVM,0.29090000000000005,0.08247227449469122,1.6452972493345166,2.4528746764714584,QASA Sequence,QASA Sequence
QASA Sequence,QASA Hybrid,0.09920000000000007,0.014864400445663561,1.1543968871595331,1.119514913797849,QASA Sequence,QASA Sequence
